id,path,aesthetic_score,pose_score,final_score
c315f166-fe4b-49d7-8520-578e120b20b3,images/disneyland/disney_castle/c315f166-fe4b-49d7-8520-578e120b20b3.jpeg,5.262,240.94,0.33938266666666667
98fb10eb-97c8-4477-bd6e-0c099c72b9ab,images/disneyland/disney_castle/98fb10eb-97c8-4477-bd6e-0c099c72b9ab.jpeg,5.323,345.49,0.48778600000000005
28c6042a-7c2c-49c7-82a0-efee45a2fb1e,images/disneyland/disney_castle/28c6042a-7c2c-49c7-82a0-efee45a2fb1e.jpeg,5.016,327.92,0.45295466666666667
04dff8d3-8ab9-4cf7-ba41-e760f0a2d653,images/disneyland/disney_castle/04dff8d3-8ab9-4cf7-ba41-e760f0a2d653.jpeg,5.392,388.76,0.550664
d0410f9b-c033-4156-9519-99e8c84372eb,images/disneyland/disney_castle/d0410f9b-c033-4156-9519-99e8c84372eb.jpeg,5.247,276.22,0.38827466666666666
6d8ccf7a-c0b3-4a6e-86b3-f9446da63509,images/disneyland/disney_castle/6d8ccf7a-c0b3-4a6e-86b3-f9446da63509.jpeg,5.038,398.91,0.5530740000000001
b6417488-ae4f-40eb-aae2-5672948e1502,images/disneyland/disney_castle/b6417488-ae4f-40eb-aae2-5672948e1502.jpeg,5.141,537.85,0.7510233333333334
247ec2fb-4f05-4bd9-bab4-38c8d8b40eca,images/disneyland/disney_castle/247ec2fb-4f05-4bd9-bab4-38c8d8b40eca.jpeg,5.218,377.29,0.5288060000000001
581b0b32-9b80-44c1-95b1-1c922f678153,images/disneyland/disney_castle/581b0b32-9b80-44c1-95b1-1c922f678153.jpeg,5.383,427.43,0.604502
6aba0d42-7f4c-4445-b5be-4cc57dd1ce03,images/disneyland/disney_castle/6aba0d42-7f4c-4445-b5be-4cc57dd1ce03.jpeg,5.642,0.0,0.15473333333333336
a76ef94e-2229-427b-a85d-b94ef732ca8f,images/disneyland/disney_castle/a76ef94e-2229-427b-a85d-b94ef732ca8f.jpeg,5.34,501.56,0.7068506666666667
